CENTRAL RAILWAY,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
FLS for Construction of New BG Railway Line Nashik to Dahanu ,,,,,,,,,,,,,
,,,,,,,Length: 150.075 Km.,,,,,,
,1120 - LAND,,,,,,Gauge : 1.676 M,,,,,,
,1120-A: PRIVATE LAND,,,,,,,,,,,,
Sl. No.,Description,Qty. ,Rate in Rs.,Unit,Cash  Rs.,Stores  in Rs.,Total in Rs.,,,,,,
1,Rural Land (Wet),686.2299909000001,1221872.7946926728,Hect,838485756.7829105,0,838485756.7829105,,110,,,,
2,Urban Land,,,Hect,0,0,0,,,,,,
3,Built - Up area/House sites,,,Hect,0,0,0,,,,,,
,Sub Total : (A),686.2299909000001,,,838485756.7829105,0,838485756.7829105,,,,,,
4,"As per LARR - 2013, multification factor for land compensation is 1-2 times on item no. 1 - Rural Area ",1.5,,,1257728635.1743658,0,1257728635.1743658,,,,,,
5,"As per LARR - 2013, multification factor for land compensation is 2 times on item no. 2 & 3. - Urban & Builtlup Area ",1,,,0,0,0,,,,,,
6,Compensation for standing crops @ 3% on items 1,0.03,,,25154572.703487314,0,25154572.703487314,,,,,,
,Sub Total : (B),,,,1282883207.8778532,0,1282883207.8778532,,,,,,
7,Compenstation for residential buildings and borewells,,24200,Sqm,0,0,0,,,,,,
,Sub Total : C,,,,0,0,0,,,,,,
8,Solatium @ 100 % on land cost ,1,,,1282883207.8778532,0,1282883207.8778532,,,,,,
10,"R&R entitlement @ 10,00,000 per family and 10 families per Hectare",0,,,0,0,0,,,,,,
11,Doghbel or lock split ,,111.2,100 M,0,0,0,,,,,,
,Sub Total : (D) = B+C,,,,1282883207.8778532,0,1282883207.8778532,,,,,,
9,Any Other Charges E,,,,0,0,0,,,,,,
10,"Administrative Cost, F = (B+C+D)* 6%",0.06,,,153945984.94534236,0,153945984.94534236,,,,,,
